id;name;street_address;latitude;longitude;phone;email;website;facebook;slug;opening_hours_monday;opening_hours_tuesday;opening_hours_wednesday;opening_hours_thursday;opening_hours_friday;opening_hours_saturday;opening_hours_sunday;opening_hours_description;happy_hours_monday;happy_hours_tuesday;happy_hours_wednesday;happy_hours_thursday;happy_hours_friday;happy_hours_saturday;happy_hours_sunday;happy_hours_description;is_published;is_closed;created_at;updated_at;has_free_wifi;has_air_conditioning;has_television;has_darts;has_foosball;has_pinball;has_pool;has_terrace;has_handicap_access;city_id;postal_code;has_food;offers_description;has_dog_policy;has_board_games;has_live_music;has_dj_set;instagram;description;offers_slogan;capacity_inside;capacity_outside;is_claimed;has_offers;has_take_away;premium_hours_monday;premium_hours_tuesday;premium_hours_wednesday;premium_hours_thursday;premium_hours_friday;premium_hours_saturday;premium_hours_sunday;public_transports_updated_at;secret_key
718;Le Biscornu - Opéra;4 Rue Daunou;48,869392;2,3323919;33971374275;NULL;http://lebiscornuopera.fr;https://www.facebook.com/Le-Biscornu-Op%C3%A9ra-1329031480604626/;le-biscornu-opera;18:00/02:00;18:00/02:00;18:00/02:00;17:00/04:30;17:00/04:30;17:00/04:30;NULL;NULL;17:00/21:00;17:00/21:00;17:00/21:00;17:00/21:00;17:00/21:00;17:00/21:00;17:00/21:00;NULL;1;0;12/02/2020 13:33;16/02/2022 13:02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75002;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 13:02;f6ae852146f004f36f7b3959c28abc0e
719;Le Bistro des Augustins;39 Quai des Grands Augustins;48,8547401;2,3421203;33143540441;NULL;NULL;https://www.facebook.com/Bistro-des-Augustins-106726426061804/;le-bistro-des-augustins;10:00/02:00;10:00/02:00;10:00/02:00;10:00/02:00;10:00/02:00;10:00/02:00;10:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75006;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:37;8aa922acb3007de90cc634286249f901
720;Le Bistrot Léo;92 Rue de Turenne;48,861713;2,3648145;33142770986;NULL;NULL;https://www.facebook.com/Bistrot-L%C3%A9o-Marais-108661417282495/;le-bistrot-leo;06:00/02:00;06:00/02:00;06:00/02:00;06:00/02:00;06:00/02:00;06:00/02:00;06:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:31;ed8927710009b8ab8acd1db7b2aa56a7
721;Le Bistrot Pop;3 Avenue de la République;48,866792;2,367287;33143383629;NULL;http://bistrotpop.fr;none;le-bistrot-pop;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;09:00/02:00;10:00/02:00;NULL;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;NULL;1;0;12/02/2020 13:33;16/02/2022 15:33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75011;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 15:33;6361e0177e03c5903a65f0de92851c7b
722;Le Bougnat;28 Rue de Saintonge;48,8622642;2,3631778;33142784767;NULL;NULL;https://www.facebook.com/lebougnatparis/;le-bougnat;NULL;08:00/22:00;08:00/22:00;08:00/22:00;08:00/22:00;08:00/22:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;12/02/2020 13:33;23/02/2022 13:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23/02/2022 13:58;f99a9afab4eb40e7f00b6c9152fade94
723;Le Bouillon Belge;6 Rue Planchat;48,8521563;2,3993301;33143704103;NULL;NULL;https://www.facebook.com/LeBouillonB/;le-bouillon-belge;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;18:00/00:00;NULL;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;NULL;1;0;12/02/2020 13:33;13/01/2022 15:37;1;0;0;0;0;1;0;1;0;3;75020;1;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:37;500101eeaff2c6ed00b29362aa155af8
724;Le Cactus;28 Rue des Archives;48,8582192;2,3551966;33142785666;NULL;NULL;https://www.facebook.com/lecactus/;le-cactus;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;08:00/02:00;09:00/02:00;11:00/02:00;NULL;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;NULL;1;0;12/02/2020 13:33;13/01/2022 15:37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75004;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:37;debea50fb95fee0ad60c20832fd9bb2d
725;Le Café des Antiquaires;15 Rue de la Grange Batelière;48,872986;2,3414853;33148009992;NULL;NULL;https://www.facebook.com/pages/Le-Caf%C3%A9-des-Antiquaires/140196239367572;le-cafe-des-antiquaires;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;18:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;23/02/2022 15:05;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75009;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23/02/2022 15:05;d306a351a36ca15c5fffa68d77ec7f7c
726;Le Café des Chats;9 Rue Sedaine;48,8558501;2,3717617;NULL;NULL;http://lecafedeschats.fr;https://www.facebook.com/LeCafeDesChats/;le-cafe-des-chats;NULL;12:00/22:30;12:00/22:30;12:00/22:30;12:00/23:00;12:00/23:00;12:00/22:30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75011;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:58;6bf53abcf44734884e18c96754fde7aa
727;Le Café des Musées;49 Rue de Turenne;48,858063;2,3643307;NULL;NULL;http://lecafedesmusees.fr;https://www.facebook.com/LeCafeDesMusees/;le-cafe-des-musees;12:00/14:30;12:00/14:30;12:00/14:30;12:00/14:30;12:00/14:30;12:00/15:00;12:00/15:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:10;92211725b4ad07c2245b87f268ada63e
728;Le Café Noir;65 Rue Montmartre;48,8665319;2,3442653;33140390736;NULL;NULL;https://www.facebook.com/Le-Caf%C3%A9-Noir-729256393834138/;le-cafe-noir;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;10:00/02:00;10:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 10:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75002;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 10:58;d51bc475a17df5c28b58706c7750863f
729;Le Canon de la Nation;2 Place de la Nation;48,8484615;2,3941358;NULL;NULL;NULL;https://www.facebook.com/LeCanonNation/;le-canon-de-la-nation;05:00/02:00;05:00/02:00;05:00/02:00;05:00/02:00;05:00/02:00;05:00/02:00;05:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75012;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;fc8f68fef1ee536a9dd624aaf0832d79
730;Le Carlie;177 Rue Saint-Martin;48,8626714;2,352131;33621087124;NULL;NULL;https://www.facebook.com/LeCarlie/;le-carlie;15:00/02:00;NULL;NULL;NULL;17:00/02:00;NULL;NULL;NULL;00:00/22:00;00:00/22:00;00:00/22:00;00:00/22:00;00:00/22:00;00:00/22:00;NULL;NULL;1;1;12/02/2020 13:33;01/03/2022 09:50;0;0;0;0;0;0;0;0;0;3;75003;0;Offres valables tous les jours jusqu'à 23h.;0;0;0;0;https://www.instagram.com/le_carlie/;"Au Carlie, c'est Tony et sa superbe team qui t'accueille dans une ambiance charmante et conviviale. 
À l'entrée découvre leur bar toujours très animé où tu pourras goûter leurs bières pressions accompagnées de planchettes, faites avec l'amour des bons produits. La team du Carlie te fera aussi découvrir ses délicieux cocktails à des prix abordables et tu pourras t'ambiancer au sous-sol dans leur jolie cave voûtée. 
Le Carlie est un bar très branché de la rue Saint-Martin, c'est vraiment l'endroit à tester dans le quartier !";Happy Hour prolongé jusqu'à 23h;160;30;1;1;0;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;NULL;01/03/2022 09:50;e744cfafb8eaaf82004b54d8546bd493
731;Le Carolus;130 Ter Boulevard de Clichy;48,8845068;2,3286469;NULL;NULL;http://lecarolus-paris.fr;https://www.facebook.com/pages/Le-Carolus/148882168480771;le-carolus;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75018;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;53d4f13b140d7343afce2a6022a97605
732;Le Carrefour Café.;8 Rue des Archives;48,8575232;2,3544707;NULL;NULL;NULL;https://www.facebook.com/pages/Le-Carrefour-Marais/159633664055896;le-carrefour-cafe;07:30/01:30;07:30/01:30;07:30/01:30;07:30/01:30;07:30/01:30;08:00/02:00;08:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75004;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;e130595d6d996bdc8f3361511ecb1c74
733;Le Caveau des Oubliettes;52 Rue Galande;48,8519987;2,3467478;NULL;NULL;http://caveau-des-oubliettes.com;https://www.facebook.com/caveaudesoubliettes/;le-caveau-des-oubliettes;NULL;17:30/03:00;17:30/03:00;17:30/03:00;17:30/00:00;00:00/16:00;00:00/16:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:06;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75005;NULL;NULL;NULL;NULL;NULL;NULL;https://www.instagram.com/lecaveaudesoubliettes/;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:06;ab0445d7fac472489892d9ec0aadd365
734;Le Cavern;21 Rue Dauphine;48,8551662;2,339853;33143545382;NULL;http://lecavernclub.com;https://www.facebook.com/lecavernclub/;le-cavern;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;NULL;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;NULL;1;0;12/02/2020 13:33;16/02/2022 13:37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75006;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 13:37;30198c499c82711e4f7930c044434055
735;Le Central Paris;40 Rue Clerc;48,8564762;2,3064154;33147050053;NULL;http://lecentral-paris.com;https://www.facebook.com/CafeCentralParis/;le-central-paris;07:00/01:00;07:00/01:00;07:00/01:00;07:00/01:00;07:00/01:00;07:00/01:00;07:00/01:00;NULL;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;NULL;1;0;12/02/2020 13:33;16/02/2022 12:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75007;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 12:38;c3a8d7e58c332542b697a29a4071c263
736;Le Certa;5 Rue de l'Isly;48,8746452;2,3258948;33142935530;NULL;NULL;https://www.facebook.com/lecerta/;le-certa;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/02:00;08:00/17:00;NULL;16:00/19:00;16:00/19:00;16:00/19:00;16:00/19:00;16:00/19:00;16:00/19:00;16:00/19:00;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75008;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;b7d2a6587f9784dcd7dcd56d6ff9d982
737;Le Chantier Interdit;1 Rue de Lappe;48,85425;2,3717041;33662890134;NULL;http://chantierinterdit.com;https://www.facebook.com/Le-chantier-interdit-184472428242064/;le-chantier-interdit;17:00/02:00;17:00/02:00;17:00/02:00;17:00/04:00;17:00/04:00;17:00/04:00;17:00/02:00;NULL;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;NULL;1;0;12/02/2020 13:33;04/03/2022 09:15;NULL;NULL;1;NULL;NULL;NULL;NULL;0;0;3;75011;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 15:40;8725b23f2382c16431c459b4c30288b7
738;Le Charlot;38 Rue de Bretagne;48,8630316;2,3624824;NULL;NULL;http://lecharlot-paris.com;https://www.facebook.com/LeCharlotParis/;le-charlot;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;NULL;19:00/21:00;19:00/21:00;19:00/21:00;19:00/21:00;19:00/21:00;19:00/21:00;19:00/21:00;NULL;1;0;12/02/2020 13:33;16/02/2022 16:28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:28;97188cb9711b68d7d0f9ac47f4c59590
739;Le Chouff'Bar;16 Rue du Pot de Fer;48,843075;2,3486348;33145359023;NULL;NULL;https://www.facebook.com/chouffpotdefer/;le-chouffbar;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;16:00/02:00;NULL;16:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;17:00/22:00;NULL;1;0;12/02/2020 13:33;16/02/2022 14:52;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75005;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 14:52;a8117374cfb486a746752548073e08f0
740;Le Cinquante;50 Rue de Lancry;48,8719;2,362679;33142023683;NULL;NULL;https://www.facebook.com/Le-Cinquante-195059667184887/;le-cinquante;18:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 13:20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75010;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 13:20;048241fe69667d9bb22100edf5e73f8e
741;Le Clown Bar;114 Rue Amelot;48,8636036;2,3672314;NULL;NULL;http://clown-bar-paris.com;https://www.facebook.com/CLOWN-BAR-PARIS-1443072882610254/;le-clown-bar;NULL;NULL;12:00/14:30;12:00/14:30;12:00/14:30;12:00/14:30;12:00/14:30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75011;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:38;32e41f5864ec96688f10820310d624dc
742;Le Cœur Fou;55 Rue Montmartre;48,8660008;2,3444538;33142330498;NULL;NULL;https://www.facebook.com/lecoeurfou/;le-coeur-fou;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;17:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 15:18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75002;NULL;NULL;NULL;NULL;NULL;NULL;https://www.instagram.com/lecoeurfou/;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 15:18;748ea272bbccd902958ab61dd7f2a4bb
743;Le Comptoir - Rugby Bar;354 Bis Rue de Vaugirard;48,8357765;2,2928683;NULL;NULL;http://le-comptoir-rugby-bar.com;https://www.facebook.com/LECOMPTOIRRUGBYBAR/;le-comptoir-rugby-bar;10:00/00:00;10:00/01:00;10:00/01:00;10:00/01:00;10:00/01:30;09:00/01:00;16:00/00:00;NULL;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;1;0;1;NULL;0;NULL;NULL;1;1;3;75015;1;NULL;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;16b77521ed51531841fee0dd8f96bccf
744;Le Comptoir Vouillé;13 Rue de Vouillé;48,8351109;2,3042731;33145322347;NULL;http://le-comptoir-rugby-bar.com;https://www.facebook.com/comptoirvouille/;le-comptoir-vouille;09:00/23:00;00:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;09:00/02:00;09:00/02:00;NULL;15:00/22:00;15:00/22:00;15:00/22:00;18:00/21:00;18:00/21:00;18:00/21:00;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;933e99359fe7ca87b71f04c2ed6fcbbb
745;Le Connetable;55 Rue des Archives;48,8615751;2,3582934;NULL;NULL;http://leconnetable.net;https://www.facebook.com/Connetable/;le-connetable;19:00/05:00;19:00/05:00;19:00/05:00;19:00/05:00;19:00/05:00;19:00/05:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;23/02/2022 14:51;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23/02/2022 14:51;44a71c6286225d3c4d4757de67aa2c41
746;Le Corner Café;29 Rue du 4 septembre;48,86982;2,334579;NULL;NULL;https://www.cornercafe-paris.fr/;https://www.facebook.com/Corner-caf%C3%A9-by-coco-171942916817445/;le-corner-cafe;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 12:53;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75002;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 12:53;3a9da38e72c27302c980070af38a98df
748;Le croco du marais;6 Rue Dupetit-Thouars;48,865158;2,3626591;NULL;NULL;http://crocodumarais.fr;https://www.facebook.com/Croco-Du-Marais-132708517361727/;le-croco-du-marais;08:00/01:00;08:00/01:00;08:00/01:00;08:00/01:00;08:00/01:00;08:00/01:00;08:00/01:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 16:45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;75003;1;NULL;NULL;NULL;NULL;NULL;https://www.instagram.com/crocodumarais/;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 16:45;feda9b33dee481bfbe35d43a3c27b72e
749;Le Crocodile;6 Rue Royer-Collard;48,845758;2,3421106;33650079100;NULL;http://lecrocodile.business.site;https://www.facebook.com/LeCrocodileBar/;le-crocodile;NULL;00:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;18:00/02:00;NULL;NULL;NULL;18:00/23:00;18:00/23:00;18:00/23:00;18:00/22:00;18:00/22:00;NULL;NULL;1;0;12/02/2020 13:33;16/02/2022 17:14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75005;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/02/2022 17:14;55effdc2577d7b8441bd2a6c5cf9d8b9
750;Le Cyrano;3 Rue Biot;48,8837953;2,3265686;33145225334;NULL;NULL;https://www.facebook.com/LE-CYRANO-le-bistrot-des-musiciens-et-com%C3%A9diens-304363422910912/;le-cyrano;09:00/01:00;09:00/01:00;09:00/01:00;09:00/01:00;09:00/01:00;10:00/01:00;04:00/12:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;66eb7a2a3c6144ad0be101a8597cdeb2
751;Le Dauphin;131 Avenue Parmentier;48,869447;2,3711154;NULL;NULL;NULL;https://www.facebook.com/LeDauphinParis11/;le-dauphin;NULL;19:00/23:00;12:30/15:00;12:30/15:00;12:30/15:00;12:30/15:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;23/02/2022 09:30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75011;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23/02/2022 09:30;5ee305c1f06dc7ba63e21cfc6cf85a91
752;Le Dokhan’s Bar;117 Rue Lauriston;48,8663359;2,2867935;NULL;NULL;http://hotelledokhansparis.com;https://www.facebook.com/pages/Le-Dokhans-Champagne-Bar/1812925099000009;le-dokhans-bar;18:00/00:00;18:00/00:00;18:00/00:00;18:00/00:00;18:00/00:00;18:00/00:00;18:00/00:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75116;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;fbc6d03d8ae105ec4102c5f88d792416
754;Le Dude;214 Rue Saint-Maur;48,8733052;2,3707849;NULL;NULL;NULL;https://www.facebook.com/LeDudeBar/;le-dude;18:00/01:45;18:00/01:45;18:00/01:45;18:00/01:45;18:00/01:45;18:00/01:45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;12/02/2020 13:33;23/02/2022 15:22;1;NULL;NULL;0;0;0;0;1;0;3;75010;0;NULL;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23/02/2022 15:22;396e34802d1e95fc84b03f03c4df3f57
755;Le Falstaff;42 Rue du Montparnasse;48,8428597;2,3261023;33143353829;NULL;NULL;http://facebook.com/pages/Le-Falstaff/158712497481718;le-falstaff;08:30/04:00;08:30/04:00;08:30/04:00;08:30/04:00;08:30/05:00;08:30/05:00;08:30/04:00;NULL;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;NULL;1;0;12/02/2020 13:33;13/01/2022 15:38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;75014;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:38;25e7a7cc5a8a6170d0597381b67ab88e
